Bug ID,Type,Summary,Product,Component,Assignee,Status,Resolution,Updated
1949669,defect,Memory leak in JavaScript engine when handling large arrays,Core,JavaScript Engine,jstutte,RESOLVED,FIXED,2025-02-22 10:15:30
1949670,task,Implement dark mode for developer tools,DevTools,Inspector,hskupin,RESOLVED,FIXED,2025-02-22 14:20:45
1949671,enhancement,Add keyboard shortcuts for tab group management,Firefox,Tabbed Browser,dao+bmo,RESOLVED,FIXED,2025-02-23 9:45:12
1949672,defect,CSS grid layout incorrect in print preview,Core,Layout,dholbert,RESOLVED,FIXED,2025-02-23 11:30:22
1949673,task,Update security certificates for release build,Core,Security: PSM,djackson,RESOLVED,FIXED,2025-02-24 8:15:33
1949674,defect,Video playback stuttering on Linux with Wayland,Core,Audio/Video: Playback,alwu,RESOLVED,FIXED,2025-02-24 13:40:18
1949675,enhancement,Improve search performance in bookmark manager,Firefox,Bookmarks & History,jsudiaman,RESOLVED,FIXED,2025-02-25 10:25:47
1949676,task,Add telemetry for new privacy features,Toolkit,Telemetry,chutten,RESOLVED,FIXED,2025-02-25 15:35:29
1949677,defect,Extension API not working in private windows,WebExtensions,General,rob,RESOLVED,FIXED,2025-02-26 9:50:14
1949678,enhancement,Support WebAssembly SIMD operations,Core,JavaScript: WebAssembly,jseward,RESOLVED,FIXED,2025-02-26 14:15:38
1949679,task,Document new debugging APIs,Developer Infrastructure,Source Documentation,ahal,RESOLVED,FIXED,2025-02-27 11:20:45
1949680,defect,Font rendering issues on high DPI displays,Core,Graphics: Text,jfkthame,RESOLVED,FIXED,2025-02-27 16:30:12
1949681,enhancement,Add multi-language spell checking,Toolkit,Form Autofill,dlee,RESOLVED,FIXED,2025-02-28 10:45:33
1949682,task,Update third-party libraries for security patches,Firefox Build System,General,glandium,RESOLVED,FIXED,2025-02-28 14:55:27
1949683,defect,Password manager not saving credentials on some sites,Firefox,Password Manager,pdahiya,RESOLVED,FIXED,2025-03-01 9:10:44
1949684,enhancement,Implement progressive web app installation,Firefox,DOM: Core & HTML,bzbarsky,RESOLVED,FIXED,2025-03-01 13:25:19
1949685,task,Performance optimization for session restore,Firefox,Session Restore,sthompson,RESOLVED,FIXED,2025-03-02 10:35:28
1949686,defect,Touch events not working on embedded maps,Core,DOM: UI Events & Focus,smaug,RESOLVED,FIXED,2025-03-02 15:40:33
1949687,enhancement,Add support for CSS container queries,Core,CSS Parsing and Computation,emilio,RESOLVED,FIXED,2025-03-03 11:15:47
1949688,task,Update localization strings for new features,Firefox,L10n,pike,RESOLVED,FIXED,2025-03-03 16:20:38
